station_code,station_name,division,category,remarks,latitude,longitude
ASN,Asansol,ASN,NSG-2,,23.691441,86.975152
JSME,Jasidih,ASN,NSG-3,,24.514517,86.644255
DGR,Durgapur,ASN,NSG-3,,23.495046000000002,87.297902
MDP,Madhupur,ASN,NSG-4,,24.270633,86.642183
RNG,Raniganj,ASN,NSG-4,,23.602851,87.11698
UDL,Andal,ASN,NSG-4,,23.579012000000002,87.181194
BDME,Baidyanathdham,ASN,NSG-4,,24.4892623,86.6920701
DGHR,Deoghar,ASN,NSG-4,,24.51178242,86.69712126
BSKH,Basukinath,ASN,NSG-4,,24.388941000000003,87.045099
CRJ,Chittaranjan,ASN,NSG-5,,23.857138000000003,86.878036
PAN,Panagarh,ASN,NSG-5,,23.443034,87.439587
KMME,Kumardhubi,ASN,NSG-5,,23.747453,86.794065
JMT,Jamtara,ASN,NSG-5,,23.958904,86.805183
SURI,Siuri,ASN,NSG-5,,23.890185,87.5327
DUMK,Dumka,ASN,NSG-5,,24.289527,87.254975
GRD,Giridih,ASN,NSG-5,,24.182255899999998,86.3146452
BRR,Barakar,ASN,NSG-5,,23.7416829,86.818859
STN,Sitarampur Jn,ASN,NSG-5,,23.723864,86.896472
STL,Simultala,ASN,NSG-5,,24.713365,86.541782
ULT,Kulti,ASN,NSG-5,,23.737816,86.84886999999999
VDS,Vidyasagar,ASN,NSG-5,,24.103820000000002,86.69841500000001
MNAE,Mankar,ASN,NSG-5,,23.420373,87.555822
PAW,Pandabeswar,ASN,NSG-5,,23.711965,87.277416
UKA,Ukhra,ASN,NSG-5,,23.653692,87.232537
BBI,Baraboni,ASN,NSG-6,,,
BCQ,Barachak,ASN,NSG-6,,23.706726,86.92813299999999
BMGA,Bhimgarh,ASN,NSG-6,,23.73804814,87.28427905
CNDN,Chandan,ASN,NSG-6,,24.6134885,86.6755127
CAM,Chota ambona,ASN,NSG-6,,23.762753179999997,86.57461305
CPLE,Chinpai,ASN,NSG-6,,23.839677000000002,87.46063699999999
DUJ,Dubrajpur,ASN,NSG-6,,23.803358,87.378973
GLI,Galsi,ASN,NSG-6,,23.358032,87.681236
GRMA,Ghoramara,ASN,NSG-6,,24.442298,86.86392
JGD,Jagdishpur,ASN,NSG-6,,24.273027000000003,86.525172
KAO,Kalubathan,ASN,NSG-6,,23.758149,86.661294
KBQ,Kumrabad Rohini,ASN,NSG-6,,24.467308,86.64534800000001
KJME,Kajoragram,ASN,NSG-6,,23.615327,87.18466500000001
KNRI,Kunuri,ASN,NSG-6,,23.9163057543,87.6115177704
KPK,Kalipahari,ASN,NSG-6,,23.6652,87.01593
LHB,Lahabon,ASN,NSG-6,,24.6403400956,86.6001380908
MMD,Maheshmunda,ASN,NSG-6,,24.232416,86.38903300000001
MMU,Mugma,ASN,NSG-6,,23.751414,86.747614
MNC,Madankatta,ASN,NSG-6,,24.140881,86.70195
MUW,Mathurapur,ASN,NSG-6,,24.386518000000002,86.631692
OYR,Waria,ASN,NSG-6,,23.537562,87.246177
PAJ,Paraj,ASN,NSG-6,,23.387863,87.62750500000001
PCR,Panchra,ASN,NSG-6,,23.771990000000002,87.330151
RBH,Rajbandh,ASN,NSG-6,,23.476136,87.372314
RNPR,Rupnarainpur,ASN,NSG-6,,23.818703000000003,86.885481
SLS,Salanpur,ASN,NSG-6,,23.760355,86.876395
SNQ,Sankarpur,ASN,NSG-6,,24.427623,86.637552
SSNR,Sonachara,ASN,NSG-6,,24.49030743,86.68168063
TNW,Thaparnagar,ASN,NSG-6,,23.769198,86.70137
TOP,Tapasi,ASN,NSG-6,,,
RAJLA,Rajla,ASN,HG-2,,24.7556576,86.4227203
JMA,Jamuria,ASN,HG-2,,23.7136229,87.0718471
JRW,Joramow,ASN,HG-2,,24.201663,86.707773
KQX,Kochujor,ASN,HG-2,,23.841224628400003,87.46277400209999
KEE,Kasitanr,ASN,HG-2,,24.004444,86.75251
KBSH,K.B.Sahai halt,ASN,HG-2,,24.255819,86.482965
KTOR,Katoriya,ASN,HG-2,,24.7407247,86.7292142
NRGO,Narganjo,ASN,HG-2,,24.7439751193,86.4578033173
SXD,Siduli,ASN,HG-2,,23.6493523213,87.21232632290001
TELWA,Telwabazar,ASN,HG-2,,,
BHAU,Bhalua Halt,ASN,HG-3,,,
CNPI,Chandanpahari,ASN,HG-3,,24.404224,86.953082
CCR,Chinchuria,ASN,HG-3,,,
DPDH,Dhanpatdih,ASN,HG-3,,24.417131,86.9150667
INCI,Ishanchandi,ASN,HG-3,,23.3336497763,87.7396679724
IRH,Ikra,ASN,HG-3,,,
JAMA,Jama,ASN,HG-3,,24.345509,87.14492
KKBA,Kakbara,ASN,HG-3,,,
KARJ,Karjhausa,ASN,HG-3,,,
MWZ,Mahisadhari,ASN,HG-3,,23.916311,87.649654
MHUR,Mohanpur,ASN,HG-3,,24.488460999999997,86.78564800000001
MPUR,New Madanpur,ASN,HG-3,,24.312218,87.226329
NNWH,New Nawadih,ASN,HG-3,,,
SGPA,T/P 6/3 Sugapahari,ASN,HG-3,,24.2790237518,86.57804878910001
SGPT,T/P 7/11 Sugapahari,ASN,HG-3,,,
LCME,Lachmanpur Road,ASN,HG-3,closed temporarily,,
PSME,Palasthali,ASN,HG-3,closed temporarily,23.8359578,87.0529807
BRHM,Barharagram,ASN,HG-3,closed temporarily,,
HZH,Hazratpur,ASN,HG-3,closed temporarily,,
RSME,Raswan,ASN,HG-3,closed temporarily,,
ANMP,Arjun Nagar,ASN,HG-3,Newly opened,,
HWH,Howrah,HWH,NSG-1,,22.584077999999998,88.34099900000001
BWN,Barddhaman,HWH,NSG-2,,23.249718,87.87028099999999
RPH,Rampurhat,HWH,NSG-3,,24.179797,87.78214700000001
BDC,Bandel,HWH,NSG-3,,22.9236565,88.3793623
BHP,Bolpur-Shantiniketan,HWH,NSG-4,,23.657804000000002,87.698136
PKR,Pakur,HWH,NSG-5,,24.638002,87.856054
KGLE,Khagraghat Road,HWH,NSG-5,,24.106842,88.22648099999999
SNT,Sainthia,HWH,NSG-5,,23.949741,87.68120499999999
AZ,Azimganj Jn,HWH,NSG-5,,24.219053,88.256764
NHT,Nalhati,HWH,NSG-5,,24.295706,87.83867000000001
MRR,Murarai,HWH,NSG-5,,24.440886,87.85865299999999
SALE,Salar,HWH,NSG-5,,23.774579,88.111097
GKH,Guskara,HWH,NSG-5,,23.489998,87.733397
AMP,Ahmedpur,Hwh,NSG-5,,23.8325090573,87.6928410938
MGAE,Moregram,HWH,NSG-5,,24.304919,88.018413
SDI,Sagardighi,HWH,NSG-5,,24.287789,88.105398
RJG,Rajgram,HWH,NSG-5,,24.544607,87.86763599999999
MLV,Mallarpur,HWH,NSG-5,,24.080029,87.726275
BZLE,Bazarsau,HWH,NSG-5,,23.8757926,88.1828793
ACLE,Azimganj City,HWH,NSG-6,,24.237941,88.25887100000001
BAA,Barala,HWH,NSG-6,,24.300532,88.039851
BDH,Bhedia,HWH,NSG-6,,23.586642,87.711813
BPS,Bonpas,HWH,NSG-6,,23.40073073,87.74725106999999
BSBR,Bansloi bridge,HWH,NSG-6,,24.502610999999998,87.862439
BSLE,Bataspur,HWH,NSG-6,,23.8802785594,87.6806814746
CTR,Chatra,HWH,NSG-6,,24.372846,87.849257
CWLE,Chowrigachha,HWH,NSG-6,,23.942472,88.18645099999999
CWT,Chowhatta,HWH,NSG-6,Closed temporarily,23.8249311,87.7518997
GGLE,Gangatikuri,HWH,NSG-6,,23.71822,88.087286
GHLE,Gadadharpur,HWH,NSG-6,,24.013197,87.691891
GMAN,Gumani,HWH,NSG-6,,24.798952096399997,87.8052776343
HRNS,Harinsingh,HWH,NSG-6,,,
GNND,Jnandas Kandra,HWH,NSG-6,Closed temporarily,23.7393279,87.969321
JHBN,Jhamatpur Baharan,HWH,NSG-6,,23.749987,88.098669
JTL,Jhapaterdhal,HWH,NSG-6,,23.367646,87.750181
KAN,Khana,HWH,NSG-6,,23.320577,87.769547
KLP,Kotalpukur,HWH,NSG-6,,24.741141,87.823724
KNHR,Kirnahar,HWH,NSG-6,Closed temporarily,23.7640027,87.8805402
KNSN,Karnasubarna,HWH,NSG-6,,24.035537,88.176458
KPLE,Kopai,HWH,NSG-6,,23.759063,87.689548
LAP,Lohapur,HWH,NSG-6,,24.302357,87.963719
LBP,Labpur,HWH,,Closed temporarily,23.8125628,87.8057
LCAE,Lalbagh Court,HWH,NSG-6,,24.173693,88.246307
MHTR,Malihati Talibpur Road,HWH,NSG-6,,23.79372,88.126194
NGF,Nagarnabi,HWH,NSG-6,,24.590321491500003,87.8680748517
NRX,Noadardhal,HWH,NSG-6,,23.433926999999997,87.745014
PCQ,Pichkurirdhal,HWH,NSG-6,,23.54342,87.720914
PNE,Prantik,HWH,NSG-6,,23.694435000000002,87.693501
PRGR,Pinargaria,HWH,NSG-6,,24.2110551,87.6423692
SKIP,Sikariapara,HWH,NSG-6,,,
SDLE,swadinpur,HWH,NSG-6,,24.253477999999998,87.822587
TBB,Tilbhita,HWH,NSG-6,,24.677287999999997,87.842581
TIT,Talit,HWH,NSG-6,,23.29331,87.819122
TKP,Takipur,HWH,NSG-6,,24.303242,87.92059400000001
TPF,Tarapith Road,HWH,NSG-6,,24.1265252897,87.7522050836
TYAE,Tenya,HWH,NSG-6,,23.822157,88.148864
SRP,Srirampur,HWH,SG-2,,22.753967999999997,88.338031
RIS,Rishra,HWH,SG-2,,22.726146,88.343378
KOG,Konnagar,HWH,SG-2,,22.6994528322,88.34183442140001
SHE,Sheoraphuli,HWH,SG-2,,22.774749,88.328809
ADST,Adisaptagram,HWH,SG-3,,22.95447,88.378872
AGAE,Agradwip,HWH,SG-3,,23.58096,88.22611699999999
ABKA,Ambika Kalna,HWH,SG-3,,23.211377,88.353984
AMBG,Arambag,HWH,SG-3,,22.8881928,87.7915745
BGF,Bagila,HWH,SG-3,,23.16014581,88.12200441
BGRA,Bagnapara,HWH,SG-3,,23.242082,88.329724
BAHW,Bahirkhanda,HWH,SG-3,,22.851949,88.071068
BBAE,Baidyabati,HWH,SG-3,,22.79549199,88.33203765
BGAE,Balagarh,HWH,SG-3,,23.1215453,88.4525522
BLAE,Balarambati,HWH,SG-3,,22.8068127,88.21216842
BGNA,Balgona,HWH,SG-3,,23.458049719226736,87.95045644976199
BLY,Bally,HWH,SG-3,,22.6552655812,88.3406065536
BSAE,Bansberia,HWH,SG-3,,22.957288000000002,88.395641
BRPA,Baruipara,HWH,SG-3,,22.766787,88.237381
BPAE,Begampur,HWH,SG-3,,22.737627,88.255644
BHLA,Behula,HWH,SG-3,,23.181967399999998,88.4287921
BZL,Belanagar,HWH,SG-3,,22.661604999999998,88.318224
BQY,Belerhat,HWH,SG-3,,23.51930706,88.28291748000001
BMAE,Belmuri,HWH,SG-3,,22.93272742,88.15233111
BEQ,Belur,HWH,SG-3,,22.635912010000002,88.33950084
BRMH,Belurmath,HWH,SG-3,,,
BHR,Bhadreswar,HWH,SG-3,,22.8279397,88.34153486
BFZ,Bhandatikuri,HWH,SG-3,,23.43319157,88.32981731
BOI,Boinchi,HWH,SG-3,,23.1191243,88.196286
BCGM,Boinchigram,HWH,SG-3,,23.10588031,88.21629817
DMLE,Dumurdaha,HWH,SG-3,,23.040053,88.43266200000001
CGR,Chandannagar,HWH,SG-3,,22.867469999999997,88.354421
CDAE,Chandanpur,HWH,SG-3,,22.8813,88.17617700000001
CNS,Chuchura,HWH,SG-3,,22.890190999999998,88.3695
DHAE,Dainhat,HWH,SG-3,,23.60191,88.17026899999999
DKAE,Dankuni,HWH,SG-3,,22.677422,88.291491
DBP,Debipur,HWH,SG-3,,23.1446129567,88.15599765809999
DTAE,Dhatrigram,HWH,SG-3,,23.277796,88.31182199999999
DEH,Diara,HWH,SG-3,,22.7985261,88.2811686
GRP,Gangpur,HWH,SG-3,,23.223525000000002,87.928116
GFAE,Garifa,HWH,SG-3,,22.908445,88.409935
GBRA,Gobra,HWH,SG-3,,22.695504,88.279274
GNJP,Gokulnagar,HWH,SG-3,,23.0405838,87.4562038
GPAE,Guptipara,HWH,SG-3,,23.197355,88.4178
GRAE,Gurap,HWH,SG-3,,23.02534,88.112282
HIH,Hajigarh,HWH,SG-3,,23.007032,88.121403
HPL,Haripal,HWH,SG-3,,22.8311582,88.11853982
HMZ,Hindmotor,HWH,SG-3,,22.683736,88.341605
HGY,Hooghly,HWH,SG-3,,22.904835,88.375632
HYG,Hooghlyghat,HWH,SG-3,,22.5572086,88.3319472
JOX,Janai Road,HWH,SG-3,,22.722379,88.26510999999999
JRAE,Jaugram,HWH,SG-3,,23.078737,88.080887
JPQ,Jhapandanga,HWH,SG-3,,23.064129,88.091187
JIT,Jirat,HWH,SG-3,,23.098255,88.461461
KKAE,Kaikala,HWH,SG-3,,22.83998676,88.09337895
KALN,Kalinagar,HWH,SG-3,,23.3658885,88.3359081
KQU,Kamarkundu,HWH,SG-3,,22.821631,88.205127
KJRA,Karjana,HWH,SG-3,,23.330259,87.8892104
KWAE,Katwa,HWH,SG-3,,23.640315,88.124085
KMAE,Khamargachhi,HWH,SG-3,,23.054229,88.44421
KHN,khanyan,HWH,SG-3,,23.046222,88.314472
KJU,Kuntighat,HWH,SG-3,,23.016799000000002,88.413149
LKX,Lakshmipur,HWH,SG-3,,23.502512000000003,88.302374
LLH,Liluah,HWH,SG-3,,22.621521,88.339559
LOK,Loknath,HWH,SG-3,,22.871717999999998,88.03392099999999
MDSE,Madhusudanpur,HWH,SG-3,,22.845108,88.193499
MUG,Magra,HWH,SG-3,,22.983124999999998,88.36829
MUU,Mankundu,HWH,SG-3,,22.846462000000002,88.346368
MSAE,Masagram,HWH,SG-3,,23.134791,88.042182
MAYP,Mayapur,HWH,SG-3,,22.8690222,87.8671933
MYM,Memari,HWH,SG-3,,23.172935,88.095637
MBE,Mirzapur Bankipur,HWH,SG-3,,22.78738,88.224626
NDAE,Nabadwipdham,HWH,SG-3,,23.396593,88.356472
NBAE,Nabagram,HWH,SG-3,,23.09918,88.06690900000001
NKL,Nalikul,HWH,SG-3,,22.829712999999998,88.16622600000001
NSF,Nasibpur,HWH,SG-3,,22.804834999999997,88.262036
PRAE,Palla Road,HWH,SG-3,,23.179393,88.00912100000001
PLAE,Palsit,HWH,SG-3,,23.197030709800003,88.00322154050001
PTAE,Patuli,HWH,SG-3,,23.5475854116,88.25171385990001
PBZ,Porabazar,HWH,SG-3,,22.916427,88.15914000000001
PDA,Pandooah,HWH,SG-3,,23.070861999999998,88.270115
PSAE,Purbasthali,HWH,SG-3,,23.453302,88.323896
RSLR,Rasulpur,HWH,SG-3,,23.187229000000002,88.039994
SKG,Saktigarh,HWH,SG-3,,23.205879,87.971782
SMAE,Samudragarh,HWH,SG-3,,23.335767,88.324967
SHBC,Shibaichandi,HWH,SG-3,,22.974465,88.13369
SLG,Simlagarh,HWH,SG-3,,23.095679,88.23121300000001
SIU,Singur,HWH,SG-3,,22.814558,88.228712
SOAE,Somrabazar,HWH,SG-3,,23.13916,88.433032
TLO,Talandu,HWH,SG-3,,23.009788,88.345088
TAK,Tarakeswar,HWH,SG-3,,22.882582,88.013437
TBAE,Tribeni,HWH,SG-3,,22.990357999999997,88.398096
UPA,Uttarpara,HWH,SG-3,,22.667652,88.34131699999999
VSPR,Vishnupriya Halt,HWH,HG-1,,23.413186,88.3552
MLYA,Malia,HWH,HG-1,,22.831668,88.136281
MTFA,Mertala Phaleya,HWH,HG-1,,23.479665999999998,88.319686
RCD,Rajchandrapur,HWH,HG-1,,22.652739,88.321219
DNHL,Dhaniakhali,HWH,HG-1,,22.95019,88.143651
ARN,Amarun,HWH,HG-2,,21.102097,82.183013
SHBL,Shiblun,HWH,HG-2,,23.692561,88.082999
MIAN,Miangram,HWH,HG-2,,23.853212000000003,88.17146
NMF,Nimo,HWH,HG-2,,23.180297999999997,88.069346
TLPH,Talpur,HWH,HG-2,,22.8752724,87.9746461
ALDP,Adalpahari,HWH,HG-3,,24.208218,87.709578
ABGM,Ambalgram,HWH,HG-3,Closed temporarily,23.6928129,88.0791214
BRMA,Barmasia,HWH,HG-3,,24.2244154,87.3889674
BCF,Bonkapasi,HWH,HG-3,Closed temporarily,,
BSMH,Birsamunda,HWH,HG-3,,,
BTRH,Bhatar,HWH,HG-3,,23.4067917,87.9250677
CHC,Chanchai,HWH,HG-3,,23.157905,88.025521
DHPD,Dahapara dham,HWH,HG-3,,24.195866000000002,88.246087
DLM,Daskalgram,HWH,HG-3,Closed temporarily,23.7511123,87.9268908
GOGT,Goghat,HWH,HG-3,,22.8987215,87.7079497
NOCOD,Gopalpurgram,HWH,HG-3,Closed temporarily,23.819963,87.7809642
GSGB,Gossaingram,HWH,HG-3,,24.248003,88.211777
JVT,Jibanti,HWH,HG-3,,24.080516999999997,88.192446
KCY,Kaichor,HWH,HG-3,Closed temporarily,,
KGRAG,Karjanagram,HWH,HG-3,,23.3446329,87.8922744
KMDC,Kurmadanga,HWH,HG-3,Closed temporarily,,
KURV,Kurva,HWH,HG-3,,,
KMPR,Kumarpur,HWH,HG-3,Closed temporarily,25.5275043,83.9357784
KMRA,Kamnara,HWH,HG-3,,23.2925557,87.87813
KSHT,Khetia,HWH,HG-3,,23.313686,87.8850698
KTLR,Kanthalia,HWH,HG-3,,23.991771,88.179001
KZPR,Kazipara,HWH,HG-3,,23.909854000000003,88.188491
NBKH,Nabagram Kakurhati Halt,HWH,HG-3,,23.661572,88.10026
NGX,Nigan,HWH,HG-3,Closed temporarily,23.5051556,87.992506
NLSF,Nialishpara,HWH,HG-3,,24.156525000000002,88.246367
NRLM,Nerolgram,HWH,HG-3,Closed temporarily,,
PNDI,Pachandi,HWH,HG-3,Closed temporarily,23.7224343,88.0507469
SHBA,Sahebtala,HWH,HG-3,,23.591585,88.200996
SIZ,Srikhanda,HWH,HG-3,Closed temporarily,,
SPS,Sripat Srikhanda,HWH,HG-3,Closed temporarily,,
NOC,Chamardighi,HWH,HG-3,,,
NIDM,Nandaigram,HWH,HG-3,,,
MYPR,Maynapur,HWH,HG-3,,23.0037127,87.498611
IPRA,Islampara,HWH,HG-3,Newly opened,,
BGP,Bhagalpur,MLDT,NSG-2,,25.241909300000003,86.9767918
MLDT,Malda Town,MLDT,NSG-3,,25.015659,88.130338
JMP,Jamalpur,MLDT,NSG-3,,25.313906,86.492285
NFK,New Farakka,MLDT,NSG-4,,24.794558,87.915236
SGG,Sultanganj,MLDT,NSG-4,,25.24085,86.736175
AHA,Abhaipur,MLDT,NSG-5,,25.2159864584,86.32307245909999
AKN,Akbarnagar,MLDT,NSG-5,,25.234880766899998,86.8345333624
BHW,Barharwa,MLDT,NSG-5,,24.857748,87.77449299999999
BUP,Bariarpur,MLDT,NSG-5,,25.2810286076,86.5740372229
DGLE,Dhulianganga,MLDT,NSG-5,,24.672086,87.937644
JRLE,Jangipur Road,MLDT,NSG-5,,24.459515,88.04076
CLG,Kahalgaon,MLDT,NSG-5,,25.2621879424,87.2337518945
KJH,Kajra,MLDT,NSG-5,,25.182766,86.261571
KTJ,Khaltipur,MLDT,NSG-5,,24.875742000000002,88.021646
MZC,Mirzacheuki,MLDT,NSG-5,,25.2587767836,87.4979796002
NILE,Nimtita,MLDT,NSG-5,,24.625338,88.00764
PPT,Pirpainti,MLDT,NSG-5,,25.2903753934,87.4218244568
RJL,Rajmahal,MLDT,NSG-5,,25.052535,87.831451
SBG,Sahibganj,MLDT,NSG-5,,25.241391999999998,87.63457700000001
TPH,Tinpahar,MLDT,NSG-5,,24.996925863999998,87.7438070306
